id	datum	update	title	url
3125	2020-03-16		https://www.goettingen.de/magazin/artikel.php?artikel=3125	Coronavirus: Tipps für Eltern
3126	2020-03-16		https://www.goettingen.de/magazin/artikel.php?artikel=3126	Coronavirus: 14 Fälle in Stadt und Landkreis
3127	2020-03-16	2020-03-18	https://www.goettingen.de/magazin/artikel.php?artikel=3127	Stadtverwaltung: Termine nur nach Vereinbarung
3128	2020-03-20		https://www.goettingen.de/magazin/artikel.php?artikel=3128	Ausstattung eines NW-Raumes
3129	2020-03-17	2021-01-06	https://www.goettingen.de/magazin/artikel.php?artikel=3129	Corona-Regeln
3130	2020-03-17		https://www.goettingen.de/magazin/artikel.php?artikel=3130	Coronavirus: Zahl der infizierten Menschen steigt
3131	2020-03-17	2020-03-23	https://www.goettingen.de/magazin/artikel.php?artikel=3131	Notfall-Erlass wird umgesetzt (Aktualisierung)
3132	2020-03-20	2020-04-20	https://www.goettingen.de/magazin/artikel.php?artikel=3132	Stahlbau Geländer
3133	2020-03-18		https://www.goettingen.de/magazin/artikel.php?artikel=3133	Coronavirus: 32 Menschen in Stadt und Landkreis Göttingen infiziert
3134	2020-03-23		https://www.goettingen.de/magazin/artikel.php?artikel=3134	Sanitär- und Heizungsarbeiten
3135	2020-03-19		https://www.goettingen.de/magazin/artikel.php?artikel=3135	UMG sagt verschiebbare Behandlungen ab
3136	2020-03-23		https://www.goettingen.de/magazin/artikel.php?artikel=3136	Sanitär- und Heizungsarbeiten - Feuerwehrhaus Holtensen
3137	2020-03-19	2020-04-01	https://www.goettingen.de/magazin/artikel.php?artikel=3137	Informationen für Freiberufler und Unternehmen
3138	2020-03-24		https://www.goettingen.de/magazin/artikel.php?artikel=3138	Malerarbeiten
3139	2020-03-20		https://www.goettingen.de/magazin/artikel.php?artikel=3139	Zahl der Infizierten steigt auf 51
3140	2020-03-20	2020-03-22	https://www.goettingen.de/magazin/artikel.php?artikel=3140	Infektionsverdacht - Welche ärztlichen Fragen werden gestellt?
3141	2020-03-20		https://www.goettingen.de/magazin/artikel.php?artikel=3141	Weitere Einschränkungen veröffentlicht
3142	2020-03-21		https://www.goettingen.de/magazin/artikel.php?artikel=3142	Coronavirus: Mehrzahl der Infizierten im mittleren Alter
3143	2020-03-22	2020-03-23	https://www.goettingen.de/magazin/artikel.php?artikel=3143	Zahl der Infizierten steigt auf 70
3144	2020-03-22	2020-03-31	https://www.goettingen.de/magazin/artikel.php?artikel=3144	Land schränkt öffentliches Leben weiter ein
3145	2020-03-23		https://www.goettingen.de/magazin/artikel.php?artikel=3145	72 Menschen in Stadt und Landkreis Göttingen infiziert
3146	2020-03-23		https://www.goettingen.de/magazin/artikel.php?artikel=3146	Sperrung der Calsowstraße
3147	2020-03-23	2020-11-18	https://www.goettingen.de/magazin/artikel.php?artikel=3147	Ausbau Rote Straße
3148	2020-03-23		https://www.goettingen.de/magazin/artikel.php?artikel=3148	75 Menschen in Stadt und Landkreis infiziert
3149	2020-03-23	2020-07-30	https://www.goettingen.de/magazin/artikel.php?artikel=3149	Geänderte Öffnungszeiten in der Stadtverwaltung
3150	2020-03-26		https://www.goettingen.de/magazin/artikel.php?artikel=3150	Koordinator*in (m/w/d) für die stationären und teilstationären Hilfen
3151	2020-03-26		https://www.goettingen.de/magazin/artikel.php?artikel=3151	Ärztin/ Arzt (m/w/d)
3152	2020-03-26		https://www.goettingen.de/magazin/artikel.php?artikel=3152	Sozialarbeiter*in (m/w/d) für die Betreuung von Flüchtlingen
3153	2020-03-26		https://www.goettingen.de/magazin/artikel.php?artikel=3153	Physiotherapeut*in (m/w/d)
3154	2020-03-24		https://www.goettingen.de/magazin/artikel.php?artikel=3154	Coronavirus: Zahl der Infizierten steigt auf 83
3155	2020-03-24	2020-03-25	https://www.goettingen.de/magazin/artikel.php?artikel=3155	Notfall-Pakete und ehrenamtliche Hilfe
3157	2020-03-25	2020-03-27	https://www.goettingen.de/magazin/artikel.php?artikel=3157	Coronavirus: 94 Menschen infiziert
3158	2020-03-25		https://www.goettingen.de/magazin/artikel.php?artikel=3158	Sperrung der Hildebrandtstraße am 1. April
3159	2020-03-25	2020-04-08	https://www.goettingen.de/magazin/artikel.php?artikel=3159	Berliner Straße: vorübergehend nur eine Fahrspur je Richtung
3160	2020-03-25		https://www.goettingen.de/magazin/artikel.php?artikel=3160	Earth Hour am 28. März 2020
3161	2020-03-26		https://www.goettingen.de/magazin/artikel.php?artikel=3161	Autobahnzubringer B 27: Fahrbahn wird saniert
3162	2020-03-31		https://www.goettingen.de/magazin/artikel.php?artikel=3162	Sanierung Dusch- und WC Bereich
3163	2020-03-27	2020-03-30	https://www.goettingen.de/magazin/artikel.php?artikel=3163	Dachdeckungs- und Abdichtungsarbeiten
3164	2020-03-30		https://www.goettingen.de/magazin/artikel.php?artikel=3164	Bebauungsplans Göttingen-Grone Nr. 6 „Hasenweg“, 3. Änderung
3165	2020-03-26		https://www.goettingen.de/magazin/artikel.php?artikel=3165	Stadtteilzentren arbeiten weiter
3166	2020-03-26		https://www.goettingen.de/magazin/artikel.php?artikel=3166	Zahl Infizierter steigt auf 115
3167	2020-03-27		https://www.goettingen.de/magazin/artikel.php?artikel=3167	Parkfriedhof Junkerberg bietet Fahrdienst
3168	2020-03-27	2020-03-29	https://www.goettingen.de/magazin/artikel.php?artikel=3168	Polizei zieht Bilanz zu Eindämmungs-Maßnahmen
3169	2020-03-27	2020-03-28	https://www.goettingen.de/magazin/artikel.php?artikel=3169	Coronavirus: Zahl der Infizierten steigt auf 127
3170	2020-03-27		https://www.goettingen.de/magazin/artikel.php?artikel=3170	Telefonberatung für traumatisierte Flüchtlinge
3171	2020-03-28	2020-03-29	https://www.goettingen.de/magazin/artikel.php?artikel=3171	142 Menschen in Stadt und Landkreis Göttingen infiziert
3172	2020-03-29		https://www.goettingen.de/magazin/artikel.php?artikel=3172	Coronavirus: Test bei 158 Menschen positiv
3173	2020-03-29		https://www.goettingen.de/magazin/artikel.php?artikel=3173	Göttingen stockt Materiallager auf
3175	2020-04-03		https://www.goettingen.de/magazin/artikel.php?artikel=3175	Abbruch-, Erd-, Beton- und Putzarbeiten
3176	2020-03-30		https://www.goettingen.de/magazin/artikel.php?artikel=3176	Amtsbatt Nr. 12 erscheint am 31. April
3177	2020-03-30	2020-03-31	https://www.goettingen.de/magazin/artikel.php?artikel=3177	Coronavirus: 200 Menschen positiv getestet
3178	2020-03-30		https://www.goettingen.de/magazin/artikel.php?artikel=3178	Beratungsstellen für Kinder arbeiten weiter
3179	2020-03-30		https://www.goettingen.de/magazin/artikel.php?artikel=3179	Leinenzwang für Hunde von April bis Mitte Juli
3180	2020-03-31		https://www.goettingen.de/magazin/artikel.php?artikel=3180	208 Menschen infiziert
3181	2020-03-31		https://www.goettingen.de/magazin/artikel.php?artikel=3181	Agentur: Arbeitsmarkt vor der Corona-Krise
3182	2020-03-31		https://www.goettingen.de/magazin/artikel.php?artikel=3182	Entschädigung bei Corona-Quarantäne
3183	2020-03-31		https://www.goettingen.de/magazin/artikel.php?artikel=3183	Wörthstraße ist Einbahnstraße bis Ende Mai
3184	2020-03-31		https://www.goettingen.de/magazin/artikel.php?artikel=3184	Coronavirus: 214 Menschen positiv getestet
3186	2020-03-31	2020-04-04	https://www.goettingen.de/magazin/artikel.php?artikel=3186	Neuer Erlass zu Maßnahmen in Einrichtungen
3187	2020-04-01		https://www.goettingen.de/magazin/artikel.php?artikel=3187	Fahrbahnsanierung im Siekweg
3188	2020-04-02		https://www.goettingen.de/magazin/artikel.php?artikel=3188	Sachbearbeiter*in für Kitaangelegenheiten (m/w/d)
3189	2020-04-07		https://www.goettingen.de/magazin/artikel.php?artikel=3189	Stahlbau- und Verglasungsarbeiten
3190	2020-04-01		https://www.goettingen.de/magazin/artikel.php?artikel=3190	Coronavirus: 234 Menschen infiziert
3191	2020-04-02		https://www.goettingen.de/magazin/artikel.php?artikel=3191	Kurzarbeit soll Beschäftigung sichern
3192	2020-04-02		https://www.goettingen.de/magazin/artikel.php?artikel=3192	Erster Todesfall in der Stadt Göttingen
3193	2020-04-04	2020-04-06	https://www.goettingen.de/magazin/artikel.php?artikel=3193	GöSF bietet Online-Sportkurse
3194	2020-04-02	2020-04-03	https://www.goettingen.de/magazin/artikel.php?artikel=3194	Online-Service der Stadtbibliothek jetzt gratis
3195	2020-04-02		https://www.goettingen.de/magazin/artikel.php?artikel=3195	Wochenmarkt wird auf Kurze Straße erweitert
3196	2020-04-02		https://www.goettingen.de/magazin/artikel.php?artikel=3196	Zahl der Infizierten steigt auf 270
3197	2020-04-03	2020-04-30	https://www.goettingen.de/magazin/artikel.php?artikel=3197	Stadt Göttingen baut Bushaltestellen in Grone um
3198	2020-04-03		https://www.goettingen.de/magazin/artikel.php?artikel=3198	Fahrbahnsanierung im Siekweg in Grone
3199	2020-04-03		https://www.goettingen.de/magazin/artikel.php?artikel=3199	Keine Elternbeiträge für Kinder in Notbetreuung
3200	2020-04-03	2020-04-06	https://www.goettingen.de/magazin/artikel.php?artikel=3200	Behelfsmasken: Stadt ruft zum Nähen auf
3201	2020-04-03		https://www.goettingen.de/magazin/artikel.php?artikel=3201	Zahl der Infizierten steigt auf 286
3202	2020-04-04		https://www.goettingen.de/magazin/artikel.php?artikel=3202	Zahl der Infizierten steigt auf 312
3203	2020-04-04	2020-04-05	https://www.goettingen.de/magazin/artikel.php?artikel=3203	Weitere Einschränkungen des öffentlichen Lebens
3204	2020-04-05		https://www.goettingen.de/magazin/artikel.php?artikel=3204	340 Infizierte, sieben Menschen gestorben
3205	2020-04-06		https://www.goettingen.de/magazin/artikel.php?artikel=3205	Groner-Tor-Straße: Zwei Fahrstreifen gesperrt
3206	2020-04-06		https://www.goettingen.de/magazin/artikel.php?artikel=3206	Landschaftsbauarbeiten Sanierung Spielplatz
3207	2020-04-06		https://www.goettingen.de/magazin/artikel.php?artikel=3207	Coronavirus: 351 positiv getestete Personen
3208	2020-04-07		https://www.goettingen.de/magazin/artikel.php?artikel=3208	370 bestätige Infektionen in Stadt und Landkreis Göttingen
3209	2020-04-07		https://www.goettingen.de/magazin/artikel.php?artikel=3209	Mund-Nasen-Schutz in Pflegeeinrichtungen wird Pflicht
3210	2020-04-07		https://www.goettingen.de/magazin/artikel.php?artikel=3210	Händel-Ausstellung geht digital weiter
3211	2020-04-08		https://www.goettingen.de/magazin/artikel.php?artikel=3211	Freizeit-Tipps in diesen Zeiten für drinnen und draußen
3212	2020-04-08		https://www.goettingen.de/magazin/artikel.php?artikel=3212	Stipendien für die Ausbildung zum/zur Erzieher*in (m/w/d)
3213	2020-04-08		https://www.goettingen.de/magazin/artikel.php?artikel=3213	Hauswart*in (m/w/d)
3214	2020-04-08		https://www.goettingen.de/magazin/artikel.php?artikel=3214	Anpassungen der Landesverordnung
3215	2020-04-08		https://www.goettingen.de/magazin/artikel.php?artikel=3215	Studierende unterstützen bei der Kontaktverfolgung
3216	2020-04-08		https://www.goettingen.de/magazin/artikel.php?artikel=3216	Pflegeheime: Schulung des Personals
