created,modified,gemeinde,faelle,infizierte,quelle
2020-08-07,,Stadt Bad Sachsa,81,1,3697
2020-08-07,,Flecken Bovenden,16,1,3697
2020-08-07,,Samtgemeinde Dransfeld,13,0,3697
2020-08-07,,Stadt Duderstadt,40,1,3697
2020-08-07,,Gemeinde Friedland,60,0,3697
2020-08-07,,Samtgemeinde Gieboldehausen,37,1,3697
2020-08-07,,Gemeinde Gleichen,21,5,3697
2020-08-07,,Stadt Göttingen,516,7,3697
2020-08-07,,Stadt Hann. Münden,22,0,3697
2020-08-07,,Samtgemeinde Hattorf am Harz,44,0,3697
2020-08-07,,Stadt Herzberg am Harz,208,0,3697
2020-08-07,,Stadt Osterode am Harz,98,0,3697
2020-08-07,,Samtgemeinde Radolfshausen,5,0,3697
2020-08-07,,Gemeinde Rosdorf,37,0,3697
2020-08-07,,Gemeinde Staufenberg,6,0,3697
2020-08-07,,Gemeinde Walkenried,4,0,3697
2020-08-11,,Flecken Adelebsen,6,0,3707
2020-08-11,,Gemeinde Bad Grund (Harz),45,0,3707
2020-08-11,,Stadt Bad Lauterberg im Harz,86,0,3707
2020-08-11,,Stadt Bad Sachsa,81,1,3707
2020-08-11,,Flecken Bovenden,16,1,3707
2020-08-11,,Samtgemeinde Dransfeld,13,0,3707
2020-08-11,,Stadt Duderstadt,40,1,3707
2020-08-11,,Gemeinde Friedland,60,0,3707
2020-08-11,,Samtgemeinde Gieboldehausen,37,1,3707
2020-08-11,,Gemeinde Gleichen,21,5,3707
2020-08-11,,Stadt Göttingen,518,5,3707
2020-08-11,,Stadt Hann. Münden,22,0,3707
2020-08-11,,Samtgemeinde Hattorf am Harz,44,0,3707
2020-08-11,,Stadt Herzberg am Harz,208,0,3707
2020-08-11,,Stadt Osterode am Harz,98,0,3707
2020-08-11,,Samtgemeinde Radolfshausen,5,0,3707
2020-08-11,,Gemeinde Rosdorf,37,0,3707
2020-08-11,,Gemeinde Staufenberg,6,0,3707
2020-08-11,,Gemeinde Walkenried,4,0,3707
2020-08-14,,Flecken Adelebsen,6,0,3722
2020-08-14,,Gemeinde Bad Grund (Harz),45,0,3722
2020-08-14,,Stadt Bad Lauterberg im Harz,86,0,3722
2020-08-14,,Stadt Bad Sachsa,81,1,3722
2020-08-14,,Flecken Bovenden,16,0,3722
2020-08-14,,Samtgemeinde Dransfeld,13,0,3722
2020-08-14,,Stadt Duderstadt,41,2,3722
2020-08-14,,Gemeinde Friedland,61,1,3722
2020-08-14,,Samtgemeinde Gieboldehausen,37,1,3722
2020-08-14,,Gemeinde Gleichen,21,5,3722
2020-08-14,,Stadt Göttingen,527,13,3722
2020-08-14,,Stadt Hann. Münden,24,2,3722
2020-08-14,,Samtgemeinde Hattorf am Harz,44,0,3722
2020-08-14,,Stadt Herzberg am Harz,208,0,3722
2020-08-14,,Stadt Osterode am Harz,102,4,3722
2020-08-14,,Samtgemeinde Radolfshausen,5,0,3722
2020-08-14,,Gemeinde Rosdorf,37,0,3722
2020-08-14,,Gemeinde Staufenberg,6,0,3722
2020-08-14,,Gemeinde Walkenried,4,0,3722
2020-08-18,,Flecken Adelebsen,6,0,3727
2020-08-18,,Gemeinde Bad Grund (Harz),45,0,3727
2020-08-18,,Stadt Bad Lauterberg im Harz,87,1,3727
2020-08-18,,Stadt Bad Sachsa,81,1,3727
2020-08-18,,Flecken Bovenden,16,0,3727
2020-08-18,,Samtgemeinde Dransfeld,13,0,3727
2020-08-18,,Stadt Duderstadt,41,2,3727
2020-08-18,,Gemeinde Friedland (62 ,,2,3727
2020-08-18,,Samtgemeinde Gieboldehausen,37,1,3727
2020-08-18,,Gemeinde Gleichen,21,0,3727
2020-08-18,,Stadt Göttingen,536,20,3727
2020-08-18,,Stadt Hann. Münden,24,2,3727
2020-08-18,,Samtgemeinde Hattorf am Harz,44,0,3727
2020-08-18,,Stadt Herzberg am Harz,208,0,3727
2020-08-18,,Stadt Osterode am Harz,102,4,3727
2020-08-18,,Samtgemeinde Radolfshausen,5,0,3727
2020-08-18,,Gemeinde Rosdorf,37,0,3727
2020-08-18,,Gemeinde Staufenberg,6,0,3727
2020-08-18,,Gemeinde Walkenried,4,0,3727
2020-08-21,,Flecken Adelebsen,6,0,3741
2020-08-21,,Gemeinde Bad Grund (Harz),45,0,3741
2020-08-21,,Stadt Bad Lauterberg im Harz,88,2,3741
2020-08-21,,Stadt Bad Sachsa,81,1,3741
2020-08-21,,Flecken Bovenden,18,2,3741
2020-08-21,,Samtgemeinde Dransfeld,13,0,3741
2020-08-21,,Stadt Duderstadt,43,3,3741
2020-08-21,,Gemeinde Friedland,62,2,3741
2020-08-21,,Samtgemeinde Gieboldehausen,38,2,3741
2020-08-21,,Gemeinde Gleichen,21,0,3741
2020-08-21,,Stadt Göttingen,542,22,3741
2020-08-21,,Stadt Hann. Münden,25,1,3741
2020-08-21,,Samtgemeinde Hattorf am Harz,44,0,3741
2020-08-21,,Stadt Herzberg am Harz,208,0,3741
2020-08-21,,Stadt Osterode am Harz,102,3,3741
2020-08-21,,Samtgemeinde Radolfshausen,5,0,3741
2020-08-21,,Gemeinde Rosdorf,37,0,3741
2020-08-21,,Gemeinde Staufenberg,6,0,3741
2020-08-21,,Gemeinde Walkenried,4,0,3741
2020-08-25,2020-08-28,Flecken Adelebsen,6,0,3746
2020-08-25,2020-08-28,Gemeinde Bad Grund (Harz),45,0,3746
2020-08-25,2020-08-28,Stadt Bad Lauterberg im Harz,88,1,3746
2020-08-25,2020-08-28,Stadt Bad Sachsa,81,0,3746
2020-08-25,2020-08-28,Flecken Bovenden,18,2,3746
2020-08-25,2020-08-28,Samtgemeinde Dransfeld,13,0,3746
2020-08-25,2020-08-28,Stadt Duderstadt,43,1,3746
2020-08-25,2020-08-28,Gemeinde Friedland,63,2,3746
2020-08-25,2020-08-28,Samtgemeinde Gieboldehausen,38,2,3746
2020-08-25,2020-08-28,Gemeinde Gleichen,21,0,3746
2020-08-25,2020-08-28,Stadt Göttingen,547,14,3746
2020-08-25,2020-08-28,Stadt Hann. Münden,27,3,3746
2020-08-25,2020-08-28,Samtgemeinde Hattorf am Harz,44,0,3746
2020-08-25,2020-08-28,Stadt Herzberg am Harz,208,0,3746
2020-08-25,2020-08-28,Stadt Osterode am Harz,102,0,3746
2020-08-25,2020-08-28,Samtgemeinde Radolfshausen,5,0,3746
2020-08-25,2020-08-28,Gemeinde Rosdorf,37,0,3746
2020-08-25,2020-08-28,Gemeinde Staufenberg,6,0,3746
2020-08-25,2020-08-28,Gemeinde Walkenried,4,0,3746
2020-08-28,,Flecken Adelebsen,6,0,3757
2020-08-28,,Gemeinde Bad Grund (Harz),45,0,3757
2020-08-28,,Stadt Bad Lauterberg im Harz,88,0,3757
2020-08-28,,Stadt Bad Sachsa,81,0,3757
2020-08-28,,Flecken Bovenden,18,0,3757
2020-08-28,,Samtgemeinde Dransfeld,13,0,3757
2020-08-28,,Stadt Duderstadt,44,2,3757
2020-08-28,,Gemeinde Friedland,63,1,3757
2020-08-28,,Samtgemeinde Gieboldehausen,39,3,3757
2020-08-28,,Gemeinde Gleichen,22,1,3757
2020-08-28,,Stadt Göttingen,553,11,3757
2020-08-28,,Stadt Hann. Münden,28,3,3757
2020-08-28,,Samtgemeinde Hattorf am Harz,44,0,3757
2020-08-28,,Stadt Herzberg am Harz,208,0,3757
2020-08-28,,Stadt Osterode am Harz,103,1,3757
2020-08-28,,Samtgemeinde Radolfshausen,5,0,3757
2020-08-28,,Gemeinde Rosdorf,37,0,3757
2020-08-28,,Gemeinde Staufenberg,6,0,3757
2020-08-28,,Gemeinde Walkenried,4,0,3757
2020-09-01,,Flecken Adelebsen,6,0,3769
2020-09-01,,Gemeinde Bad Grund (Harz),45,0,3769
2020-09-01,,Stadt Bad Lauterberg im Harz,88,0,3769
2020-09-01,,Stadt Bad Sachsa,81,0,3769
2020-09-01,,Flecken Bovenden,19,1,3769
2020-09-01,,Samtgemeinde Dransfeld,13,0,3769
2020-09-01,,Stadt Duderstadt,48,5,3769
2020-09-01,,Gemeinde Friedland,63,0,3769
2020-09-01,,Samtgemeinde Gieboldehausen,41,3,3769
2020-09-01,,Gemeinde Gleichen,22,1,3769
2020-09-01,,Stadt Göttingen,554,10,3769
2020-09-01,,Stadt Hann. Münden,29,2,3769
2020-09-01,,Samtgemeinde Hattorf am Harz,44,0,3769
2020-09-01,,Stadt Herzberg am Harz,209,1,3769
2020-09-01,,Stadt Osterode am Harz,103,1,3769
2020-09-01,,Samtgemeinde Radolfshausen,5,0,3769
2020-09-01,,Gemeinde Rosdorf,38,1,3769
2020-09-01,,Gemeinde Staufenberg,6,0,3769
2020-09-01,,Gemeinde Walkenried,4,0,3769
2020-09-04,,Flecken Adelebsen,6,0,3783
2020-09-04,,Gemeinde Bad Grund (Harz),45,0,3783
2020-09-04,,Stadt Bad Lauterberg im Harz,88,0,3783
2020-09-04,,Stadt Bad Sachsa,81,0,3783
2020-09-04,,Flecken Bovenden,20,2,3783
2020-09-04,,Samtgemeinde Dransfeld,13,0,3783
2020-09-04,,Stadt Duderstadt,51,7,3783
2020-09-04,,Gemeinde Friedland,63,0,3783
2020-09-04,,Samtgemeinde Gieboldehausen,43,5,3783
2020-09-04,,Gemeinde Gleichen,22,1,3783
2020-09-04,,Stadt Göttingen,559,6,3783
2020-09-04,,Stadt Hann. Münden,29,0,3783
2020-09-04,,Samtgemeinde Hattorf am Harz,44,0,3783
2020-09-04,,Stadt Herzberg am Harz,210,2,3783
2020-09-04,,Stadt Osterode am Harz,103,0,3783
2020-09-04,,Samtgemeinde Radolfshausen,5,0,3783
2020-09-04,,Gemeinde Rosdorf,38,1,3783
2020-09-04,,Gemeinde Staufenberg,6,0,3783
2020-09-04,,Gemeinde Walkenried,4,0,3783
2020-09-08,,Flecken Adelebsen,6,0,3786
2020-09-08,,Gemeinde Bad Grund (Harz),45,0,3786
2020-09-08,,Stadt Bad Lauterberg im Harz,88,0,3786
2020-09-08,,Stadt Bad Sachsa,81,0,3786
2020-09-08,,Flecken Bovenden,20,1,3786
2020-09-08,,Samtgemeinde Dransfeld,13,0,3786
2020-09-08,,Stadt Duderstadt,53,7,3786
2020-09-08,,Gemeinde Friedland,63,0,3786
2020-09-08,,Samtgemeinde Gieboldehausen,51,12,3786
2020-09-08,,Gemeinde Gleichen,22,0,3786
2020-09-08,,Stadt Göttingen,567,11,3786
2020-09-08,,Stadt Hann. Münden,29,0,3786
2020-09-08,,Samtgemeinde Hattorf am Harz,44,0,3786
2020-09-08,,Stadt Herzberg am Harz,210,1,3786
2020-09-08,,Stadt Osterode am Harz,103,0,3786
2020-09-08,,Samtgemeinde Radolfshausen,5,0,3786
2020-09-08,,Gemeinde Rosdorf,39,1,3786
2020-09-08,,Gemeinde Staufenberg,6,0,3786
2020-09-08,,Gemeinde Walkenried,4,0,3786
2020-09-11,,Flecken Adelebsen,6,0,3801
2020-09-11,,Gemeinde Bad Grund (Harz),45,0,3801
2020-09-11,,Stadt Bad Lauterberg im Harz,88,0,3801
2020-09-11,,Stadt Bad Sachsa,81,0,3801
2020-09-11,,Flecken Bovenden,20,0,3801
2020-09-11,,Samtgemeinde Dransfeld,13,0,3801
2020-09-11,,Stadt Duderstadt,53,4,3801
2020-09-11,,Gemeinde Friedland,63,0,3801
2020-09-11,,Samtgemeinde Gieboldehausen,51,12,3801
2020-09-11,,Gemeinde Gleichen,22,0,3801
2020-09-11,,Stadt Göttingen,569,10,3801
2020-09-11,,Stadt Hann. Münden,30,1,3801
2020-09-11,,Samtgemeinde Hattorf am Harz,44,0,3801
2020-09-11,,Stadt Herzberg am Harz,211,2,3801
2020-09-11,,Stadt Osterode am Harz,103,0,3801
2020-09-11,,Samtgemeinde Radolfshausen,5,0,3801
2020-09-11,,Gemeinde Rosdorf,39,0,3801
2020-09-11,,Gemeinde Staufenberg,6,0,3801
2020-09-11,,Gemeinde Walkenried,4,0,3801
2020-09-15,,Flecken Adelebsen,6,0,3811
2020-09-15,,Gemeinde Bad Grund (Harz),45,0,3811
2020-09-15,,Stadt Bad Lauterberg im Harz,88,0,3811
2020-09-15,,Stadt Bad Sachsa,81,0,3811
2020-09-15,,Flecken Bovenden,20,0,3811
2020-09-15,,Samtgemeinde Dransfeld,13,0,3811
2020-09-15,,Stadt Duderstadt,53,0,3811
2020-09-15,,Gemeinde Friedland,63,0,3811
2020-09-15,,Samtgemeinde Gieboldehausen,51,8,3811
2020-09-15,,Gemeinde Gleichen,22,0,3811
2020-09-15,,Stadt Göttingen,571,5,3811
2020-09-15,,Stadt Hann. Münden,30,0,3811
2020-09-15,,Samtgemeinde Hattorf am Harz,44,0,3811
2020-09-15,,Stadt Herzberg am Harz,211,1,3811
2020-09-15,,Stadt Osterode am Harz,103,0,3811
2020-09-15,,Samtgemeinde Radolfshausen,5,0,3811
2020-09-15,,Gemeinde Rosdorf,39,0,3811
2020-09-15,,Gemeinde Staufenberg,6,0,3811
2020-09-15,,Gemeinde Walkenried,4,0,3811
2020-09-18,,Flecken Adelebsen,7,1,3829
2020-09-18,,Gemeinde Bad Grund (Harz),45,0,3829
2020-09-18,,Stadt Bad Lauterberg im Harz,88,0,3829
2020-09-18,,Stadt Bad Sachsa,81,0,3829
2020-09-18,,Flecken Bovenden,20,0,3829
2020-09-18,,Samtgemeinde Dransfeld,13,0,3829
2020-09-18,,Stadt Duderstadt,56,3,3829
2020-09-18,,Gemeinde Friedland,63,0,3829
2020-09-18,,Samtgemeinde Gieboldehausen,51,3,3829
2020-09-18,,Gemeinde Gleichen,22,0,3829
2020-09-18,,Stadt Göttingen,572,4,3829
2020-09-18,,Stadt Hann. Münden,30,0,3829
2020-09-18,,Samtgemeinde Hattorf am Harz,44,0,3829
2020-09-18,,Stadt Herzberg am Harz,211,0,3829
2020-09-18,,Stadt Osterode am Harz,103,0,3829
2020-09-18,,Samtgemeinde Radolfshausen,5,0,3829
2020-09-18,,Gemeinde Rosdorf,40,1,3829
2020-09-18,,Gemeinde Staufenberg,6,0,3829
2020-09-18,,Gemeinde Walkenried,4,0,3829
2020-09-22,,Flecken Adelebsen,7,1,3837
2020-09-22,,Gemeinde Bad Grund (Harz),45,0,3837
2020-09-22,,Stadt Bad Lauterberg im Harz,89,1,3837
2020-09-22,,Stadt Bad Sachsa,81,0,3837
2020-09-22,,Flecken Bovenden,22,2,3837
2020-09-22,,Samtgemeinde Dransfeld,13,0,3837
2020-09-22,,Stadt Duderstadt,61,8,3837
2020-09-22,,Gemeinde Friedland,63,0,3837
2020-09-22,,Samtgemeinde Gieboldehausen,51,3,3837
2020-09-22,,Gemeinde Gleichen,22,0,3837
2020-09-22,,Stadt Göttingen,572,3,3837
2020-09-22,,Stadt Hann. Münden,31,1,3837
2020-09-22,,Samtgemeinde Hattorf am Harz,44,0,3837
2020-09-22,,Stadt Herzberg am Harz,211,0,3837
2020-09-22,,Stadt Osterode am Harz,103,0,3837
2020-09-22,,Samtgemeinde Radolfshausen,5,0,3837
2020-09-22,,Gemeinde Rosdorf,41,2,3837
2020-09-22,,Gemeinde Staufenberg,6,0,3837
2020-09-22,,Gemeinde Walkenried,4,0,3837
2020-09-29,,Flecken Adelebsen,7,1,3860
2020-09-29,,Gemeinde Bad Grund (Harz),45,0,3860
2020-09-29,,Stadt Bad Lauterberg im Harz,89,1,3860
2020-09-29,,Stadt Bad Sachsa,81,0,3860
2020-09-29,,Flecken Bovenden,24,1,3860
2020-09-29,,Samtgemeinde Dransfeld,13,0,3860
2020-09-29,,Stadt Duderstadt,64,10,3860
2020-09-29,,Gemeinde Friedland,63,0,3860
2020-09-29,,Samtgemeinde Gieboldehausen,51,1,3860
2020-09-29,,Gemeinde Gleichen,24,2,3860
2020-09-29,,Stadt Göttingen,576,2,3860
2020-09-29,,Stadt Hann. Münden,31,0,3860
2020-09-29,,Samtgemeinde Hattorf am Harz,44,0,3860
2020-09-29,,Stadt Herzberg am Harz,211,0,3860
2020-09-29,,Stadt Osterode am Harz,103,0,3860
2020-09-29,,Samtgemeinde Radolfshausen,5,0,3860
2020-09-29,,Gemeinde Rosdorf,42,0,3860
2020-09-29,,Gemeinde Staufenberg,6,0,3860
2020-09-29,,Gemeinde Walkenried,4,0,3860
2020-10-02,,Flecken Adelebsen,7,1,3873
2020-10-02,,Gemeinde Bad Grund (Harz),45,0,3873
2020-10-02,,Stadt Bad Lauterberg im Harz,90,1,3873
2020-10-02,,Stadt Bad Sachsa,81,0,3873
2020-10-02,,Flecken Bovenden,24,1,3873
2020-10-02,,Samtgemeinde Dransfeld,13,0,3873
2020-10-02,,Stadt Duderstadt,64,8,3873
2020-10-02,,Gemeinde Friedland,63,0,3873
2020-10-02,,Samtgemeinde Gieboldehausen,51,1,3873
2020-10-02,,Gemeinde Gleichen,24,1,3873
2020-10-02,,Stadt Göttingen,579,5,3873
2020-10-02,,Stadt Hann. Münden,32,1,3873
2020-10-02,,Samtgemeinde Hattorf am Harz,44,0,3873
2020-10-02,,Stadt Herzberg am Harz,212,1,3873
2020-10-02,,Stadt Osterode am Harz,103,0,3873
2020-10-02,,Samtgemeinde Radolfshausen,6,1,3873
2020-10-02,,Gemeinde Rosdorf,42,0,3873
2020-10-02,,Gemeinde Staufenberg,6,0,3873
2020-10-02,,Gemeinde Walkenried,4,0,3873
2020-10-06,,Flecken Adelebsen,7,1,3878
2020-10-06,,Gemeinde Bad Grund (Harz),45,0,3878
2020-10-06,,Stadt Bad Lauterberg im Harz,90,1,3878
2020-10-06,,Stadt Bad Sachsa,81,0,3878
2020-10-06,,Flecken Bovenden,24,0,3878
2020-10-06,,Samtgemeinde Dransfeld,14,1,3878
2020-10-06,,Stadt Duderstadt,66,7,3878
2020-10-06,,Gemeinde Friedland,65,2,3878
2020-10-06,,Samtgemeinde Gieboldehausen,51,1,3878
2020-10-06,,Gemeinde Gleichen,24,1,3878
2020-10-06,,Stadt Göttingen,581,5,3878
2020-10-06,,Stadt Hann. Münden,34,3,3878
2020-10-06,,Samtgemeinde Hattorf am Harz,44,0,3878
2020-10-06,,Stadt Herzberg am Harz,214,3,3878
2020-10-06,,Stadt Osterode am Harz,103,0,3878
2020-10-06,,Samtgemeinde Radolfshausen,6,1,3878
2020-10-06,,Gemeinde Rosdorf,42,0,3878
2020-10-06,,Gemeinde Staufenberg,6,0,3878
2020-10-06,,Gemeinde Walkenried,4,0,3878
2020-10-09,,Flecken Adelebsen,8,2,3891
2020-10-09,,Gemeinde Bad Grund (Harz),45,0,3891
2020-10-09,,Stadt Bad Lauterberg im Harz,90,1,3891
2020-10-09,,Stadt Bad Sachsa,81,0,3891
2020-10-09,,Flecken Bovenden,24,0,3891
2020-10-09,,Samtgemeinde Dransfeld,14,1,3891
2020-10-09,,Stadt Duderstadt,69,8,3891
2020-10-09,,Gemeinde Friedland,65,2,3891
2020-10-09,,Samtgemeinde Gieboldehausen,51,1,3891
2020-10-09,,Gemeinde Gleichen,24,0,3891
2020-10-09,,Stadt Göttingen,585,7,3891
2020-10-09,,Stadt Hann. Münden,35,4,3891
2020-10-09,,Samtgemeinde Hattorf am Harz,44,0,3891
2020-10-09,,Stadt Herzberg am Harz,214,3,3891
2020-10-09,,Stadt Osterode am Harz,103,0,3891
2020-10-09,,Samtgemeinde Radolfshausen,6,1,3891
2020-10-09,,Gemeinde Rosdorf,42,0,3891
2020-10-09,,Gemeinde Staufenberg,6,0,3891
2020-10-09,,Gemeinde Walkenried,4,0,3891
2020-10-13,,Flecken Adelebsen,9,3,3908
2020-10-13,,Gemeinde Bad Grund (Harz),45,0,3908
2020-10-13,,Stadt Bad Lauterberg im Harz,90,0,3908
2020-10-13,,Stadt Bad Sachsa,81,0,3908
2020-10-13,,Flecken Bovenden,28,4,3908
2020-10-13,,Samtgemeinde Dransfeld,14,0,3908
2020-10-13,,Stadt Duderstadt,78,16,3908
2020-10-13,,Gemeinde Friedland,66,1,3908
2020-10-13,,Samtgemeinde Gieboldehausen,51,1,3908
2020-10-13,,Gemeinde Gleichen,25,1,3908
2020-10-13,,Stadt Göttingen,588,7,3908
2020-10-13,,Stadt Hann. Münden,36,2,3908
2020-10-13,,Samtgemeinde Hattorf am Harz,44,0,3908
2020-10-13,,Stadt Herzberg am Harz,214,0,3908
2020-10-13,,Stadt Osterode am Harz,103,0,3908
2020-10-13,,Samtgemeinde Radolfshausen,6,0,3908
2020-10-13,,Gemeinde Rosdorf,42,0,3908
2020-10-13,,Gemeinde Staufenberg,6,0,3908
2020-10-13,,Gemeinde Walkenried,4,0,3908
2020-10-16,,Flecken Adelebsen,9,2,3914
2020-10-16,,Gemeinde Bad Grund (Harz),47,2,3914
2020-10-16,,Stadt Bad Lauterberg im Harz,91,1,3914
2020-10-16,,Stadt Bad Sachsa,81,0,3914
2020-10-16,,Flecken Bovenden,29,5,3914
2020-10-16,,Samtgemeinde Dransfeld,14,0,3914
2020-10-16,,Stadt Duderstadt,81,14,3914
2020-10-16,,Gemeinde Friedland,66,1,3914
2020-10-16,,Samtgemeinde Gieboldehausen,51,1,3914
2020-10-16,,Gemeinde Gleichen,29,5,3914
2020-10-16,,Stadt Göttingen,601,17,3914
2020-10-16,,Stadt Hann. Münden,37,2,3914
2020-10-16,,Samtgemeinde Hattorf am Harz,44,0,3914
2020-10-16,,Stadt Herzberg am Harz,214,0,3914
2020-10-16,,Stadt Osterode am Harz,103,0,3914
2020-10-16,,Samtgemeinde Radolfshausen,6,0,3914
2020-10-16,,Gemeinde Rosdorf,46,2,3914
2020-10-16,,Gemeinde Staufenberg,7,1,3914
2020-10-16,,Gemeinde Walkenried,4,0,3914
2020-10-20,,Flecken Adelebsen,9,1,3920
2020-10-20,,Gemeinde Bad Grund (Harz),47,2,3920
2020-10-20,,Stadt Bad Lauterberg im Harz,94,4,3920
2020-10-20,,Stadt Bad Sachsa,81,0,3920
2020-10-20,,Flecken Bovenden,30,3,3920
2020-10-20,,Samtgemeinde Dransfeld,14,0,3920
2020-10-20,,Stadt Duderstadt,89,12,3920
2020-10-20,,Gemeinde Friedland,66,0,3920
2020-10-20,,Samtgemeinde Gieboldehausen,51,1,3920
2020-10-20,,Gemeinde Gleichen,29,5,3920
2020-10-20,,Stadt Göttingen,613,24,3920
2020-10-20,,Stadt Hann. Münden,41,6,3920
2020-10-20,,Samtgemeinde Hattorf am Harz,51,7,3920
2020-10-20,,Stadt Herzberg am Harz,218,4,3920
2020-10-20,,Stadt Osterode am Harz,109,5,3920
2020-10-20,,Samtgemeinde Radolfshausen,6,0,3920
2020-10-20,,Gemeinde Rosdorf,48,4,3920
2020-10-20,,Gemeinde Staufenberg,8,2,3920
2020-10-20,,Gemeinde Walkenried,4,0,3920
2020-10-23,,Flecken Adelebsen,11,3,3942
2020-10-23,,Gemeinde Bad Grund (Harz),47,1,3942
2020-10-23,,Stadt Bad Lauterberg im Harz,102,11,3942
2020-10-23,,Stadt Bad Sachsa,82,1,3942
2020-10-23,,Flecken Bovenden,31,3,3942
2020-10-23,,Samtgemeinde Dransfeld,14,0,3942
2020-10-23,,Stadt Duderstadt,90,11,3942
2020-10-23,,Gemeinde Friedland,68,2,3942
2020-10-23,,Samtgemeinde Gieboldehausen,57,7,3942
2020-10-23,,Gemeinde Gleichen,31,6,3942
2020-10-23,,Stadt Göttingen,630,31,3942
2020-10-23,,Stadt Hann. Münden,47,11,3942
2020-10-23,,Samtgemeinde Hattorf am Harz,58,14,3942
2020-10-23,,Stadt Herzberg am Harz,221,7,3942
2020-10-23,,Stadt Osterode am Harz,111,6,3942
2020-10-23,,Samtgemeinde Radolfshausen,6,0,3942
2020-10-23,,Gemeinde Rosdorf,48,4,3942
2020-10-23,,Gemeinde Staufenberg,9,3,3942
2020-10-23,,Gemeinde Walkenried,4,0,3942
2020-10-26,,Flecken Adelebsen,11,3,3948
2020-10-26,,Gemeinde Bad Grund (Harz),48,2,3948
2020-10-26,,Stadt Bad Lauterberg im Harz,102,9,3948
2020-10-26,,Stadt Bad Sachsa,83,2,3948
2020-10-26,,Flecken Bovenden,31,3,3948
2020-10-26,,Samtgemeinde Dransfeld,16,2,3948
2020-10-26,,Stadt Duderstadt,112,33,3948
2020-10-26,,Gemeinde Friedland,69,3,3948
2020-10-26,,Samtgemeinde Gieboldehausen,63,13,3948
2020-10-26,,Gemeinde Gleichen,31,3,3948
2020-10-26,,Stadt Göttingen,643,37,3948
2020-10-26,,Stadt Hann. Münden,50,12,3948
2020-10-26,,Samtgemeinde Hattorf am Harz,58,12,3948
2020-10-26,,Stadt Herzberg am Harz,224,7,3948
2020-10-26,,Stadt Osterode am Harz,112,6,3948
2020-10-26,,Samtgemeinde Radolfshausen,6,0,3948
2020-10-26,,Gemeinde Rosdorf,52,5,3948
2020-10-26,,Gemeinde Staufenberg,10,4,3948
2020-10-26,,Gemeinde Walkenried,4,0,3948
2020-10-27,,Flecken Adelebsen,11,3,3957
2020-10-27,,Gemeinde Bad Grund (Harz),48,2,3957
2020-10-27,,Stadt Bad Lauterberg im Harz,102,8,3957
2020-10-27,,Stadt Bad Sachsa,83,2,3957
2020-10-27,,Flecken Bovenden,31,3,3957
2020-10-27,,Samtgemeinde Dransfeld,18,4,3957
2020-10-27,,Stadt Duderstadt,112,30,3957
2020-10-27,,Gemeinde Friedland,68,2,3957
2020-10-27,,Samtgemeinde Gieboldehausen,68,18,3957
2020-10-27,,Gemeinde Gleichen,31,3,3957
2020-10-27,,Stadt Göttingen,645,36,3957
2020-10-27,,Stadt Hann. Münden,51,11,3957
2020-10-27,,Samtgemeinde Hattorf am Harz,59,12,3957
2020-10-27,,Stadt Herzberg am Harz,226,7,3957
2020-10-27,,Stadt Osterode am Harz,112,3,3957
2020-10-27,,Samtgemeinde Radolfshausen,6,0,3957
2020-10-27,,Gemeinde Rosdorf,52,3,3957
2020-10-27,,Gemeinde Staufenberg,10,4,3957
2020-10-27,,Gemeinde Walkenried,4,0,3957
2020-10-28,,Flecken Adelebsen,12,4,3962
2020-10-28,,Gemeinde Bad Grund (Harz),48,2,3962
2020-10-28,,Stadt Bad Lauterberg im Harz,103,9,3962
2020-10-28,,Stadt Bad Sachsa,83,2,3962
2020-10-28,,Flecken Bovenden,31,3,3962
2020-10-28,,Samtgemeinde Dransfeld,18,4,3962
2020-10-28,,Stadt Duderstadt,122,37,3962
2020-10-28,,Gemeinde Friedland,69,3,3962
2020-10-28,,Samtgemeinde Gieboldehausen,70,20,3962
2020-10-28,,Gemeinde Gleichen,34,6,3962
2020-10-28,,Stadt Göttingen,655,41,3962
2020-10-28,,Stadt Hann. Münden,54,12,3962
2020-10-28,,Samtgemeinde Hattorf am Harz,61,14,3962
2020-10-28,,Stadt Herzberg am Harz,228,8,3962
2020-10-28,,Stadt Osterode am Harz,113,3,3962
2020-10-28,,Samtgemeinde Radolfshausen,6,0,3962
2020-10-28,,Gemeinde Rosdorf,52,3,3962
2020-10-28,,Gemeinde Staufenberg,10,4,3962
2020-10-28,,Gemeinde Walkenried,4,0,3962
2020-10-29,,Flecken Adelebsen,12,2,3964
2020-10-29,,Gemeinde Bad Grund (Harz),49,3,3964
2020-10-29,,Stadt Bad Lauterberg im Harz,104,10,3964
2020-10-29,,Stadt Bad Sachsa,83,1,3964
2020-10-29,,Flecken Bovenden,31,3,3964
2020-10-29,,Samtgemeinde Dransfeld,19,5,3964
2020-10-29,,Stadt Duderstadt,126,41,3964
2020-10-29,,Gemeinde Friedland,69,3,3964
2020-10-29,,Samtgemeinde Gieboldehausen,72,21,3964
2020-10-29,,Gemeinde Gleichen,35,4,3964
2020-10-29,,Stadt Göttingen,679,61,3964
2020-10-29,,Stadt Hann. Münden,56,12,3964
2020-10-29,,Samtgemeinde Hattorf am Harz,62,15,3964
2020-10-29,,Stadt Herzberg am Harz,228,8,3964
